Area code,Area,Year,Series,Tourism arrivals series type,Value,Source
533,Aruba,2019,Tourist/visitor arrivals (thousands),TF,1119,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
533,Aruba,2020,Tourist/visitor arrivals (thousands),TF,368,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
533,Aruba,2021,Tourist/visitor arrivals (thousands),TF,807,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
533,Aruba,1995,Tourism expenditure (millions of US dollars),,554,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
533,Aruba,2005,Tourism expenditure (millions of US dollars),,1097,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
533,Aruba,2010,Tourism expenditure (millions of US dollars),,1254,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
533,Aruba,2019,Tourism expenditure (millions of US dollars),,2109,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
533,Aruba,2020,Tourism expenditure (millions of US dollars),,1079,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
533,Aruba,2021,Tourism expenditure (millions of US dollars),,1788,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
36,Australia,1995,Tourist/visitor arrivals (thousands),VF,3726,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
36,Australia,2005,Tourist/visitor arrivals (thousands),VF,5499,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
36,Australia,2010,Tourist/visitor arrivals (thousands),VF,5790,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
36,Australia,2019,Tourist/visitor arrivals (thousands),VF,9466,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
36,Australia,2020,Tourist/visitor arrivals (thousands),VF,1828,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
36,Australia,2021,Tourist/visitor arrivals (thousands),VF,246,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
36,Australia,1995,Tourism expenditure (millions of US dollars),,10370,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
36,Australia,2005,Tourism expenditure (millions of US dollars),,19719,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
36,Australia,2010,Tourism expenditure (millions of US dollars),,31064,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
36,Australia,2019,Tourism expenditure (millions of US dollars),,47953,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
36,Australia,2020,Tourism expenditure (millions of US dollars),,26235,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
36,Australia,2021,Tourism expenditure (millions of US dollars),,17132,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
40,Austria,1995,Tourist/visitor arrivals (thousands),TCE,17173,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
40,Austria,2005,Tourist/visitor arrivals (thousands),TCE,19952,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed December 2022."
