Area code,Area,Year,Series,Value,Source
18,Southern Africa,2021,Net official development assistance received: Total (millions of US dollars),1673.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
18,Southern Africa,1985,Net official development assistance received: Total (as % GNI),0.3,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
18,Southern Africa,1995,Net official development assistance received: Total (as % GNI),0.5,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
18,Southern Africa,2005,Net official development assistance received: Total (as % GNI),0.3,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
18,Southern Africa,2010,Net official development assistance received: Total (as % GNI),0.4,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
18,Southern Africa,2015,Net official development assistance received: Total (as % GNI),0.5,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
18,Southern Africa,2019,Net official development assistance received: Total (as % GNI),0.3,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
18,Southern Africa,2020,Net official development assistance received: Total (as % GNI),0.5,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
18,Southern Africa,2021,Net official development assistance received: Total (as % GNI),0.4,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
19,Americas,1985,Net official development assistance received: Bilateral  (millions of US dollars),2664.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
19,Americas,1995,Net official development assistance received: Bilateral  (millions of US dollars),5249.0,"Organisation for Economic Co-operation and Development (OECD), Paris, the OECD Development Assistance Committee (DAC) database, last accessed June 2023."
